ms1,b1,e1,id2,ms2,b2,e2,ch_match
147,597,1316,Shamela0011787,284,235,879,286
148,1,647,Shamela0011780,306,970,1596,466
148,647,1548,Shamela0011780,307,1,977,632
148,1163,1539,Shamela0011787,433,5,431,169
149,1,511,Shamela0011780,307,977,1526,369
149,511,1533,Shamela0011780,308,1,1106,723
150,1,382,Shamela0011780,308,1106,1510,273
150,386,1395,Shamela0011780,309,1,1040,737
150,987,1395,Shamela0011787,287,6,395,230
150,1,299,Shamela0011787,288,783,1453,160
151,1,458,Shamela0011780,309,1032,1497,313
151,458,1486,Shamela0011780,310,1,933,621
151,271,1119,Shamela0011787,286,573,1249,381
152,8,372,Shamela0011780,310,940,1522,258
152,372,1531,Shamela0011780,311,1,1166,825
152,8,538,Shamela0011787,287,783,1499,338
152,552,1457,Shamela0011787,288,1,759,457
153,1,241,Shamela0011780,311,1166,1540,187
153,241,968,Shamela0011780,312,1,853,532
153,978,1132,Shamela0011780,313,1477,1635,121
153,1132,1577,Shamela0011780,314,1,523,280
154,1,1164,Shamela0011780,314,523,1630,818
154,1164,1581,Shamela0011780,315,1,494,324
155,845,1126,ShamDhahabiyya0056999,36,1248,1470,151
155,22,367,Shamela0009631,152,513,816,210
155,8,346,Shamela0011780,315,512,983,215
155,376,1546,Shamela0011780,316,332,1474,865
155,748,1126,Shamela0011787,291,1160,1542,226
155,881,1126,Shamela0023735,454,187,428,191
155,22,393,Shamela0023735,1669,917,1274,257
156,457,1566,Shamela0011780,317,1,1142,820
156,1292,1436,Shamela0023735,2611,1414,1563,105
156,28,348,Shamela0023735,3276,943,1158,101
157,7,570,Shamela0011780,317,1142,1614,351
157,570,1559,Shamela0011780,318,1,1058,723
157,49,1454,Shamela0023735,2485,205,1547,693
158,283,453,ShamDhahabiyya0056999,204,482,636,113
158,55,587,Shamela0011780,318,1004,1551,355
158,587,1551,Shamela0011780,319,1,1001,676
158,142,727,Shamela0011787,292,727,1501,244
158,867,1547,Shamela0011787,293,542,1661,348
159,1,566,Shamela0011780,319,1001,1569,414
159,566,1488,Shamela0011780,320,1,950,649
159,4,1186,Shamela0011787,294,20,1510,707
160,1,519,Shamela0011780,320,950,1510,390
160,519,705,Shamela0011780,321,1,206,145
160,709,1572,Shamela0011780,322,453,1324,640
160,709,1568,Shamela0011790,108,1127,1404,184
160,764,944,Shamela0023849,258,1406,1580,124
160,944,1340,Shamela0023849,259,1,289,225
161,745,933,Shamela0011780,326,1492,1677,147
161,47,740,Shamela0011780,326,96,928,427
161,933,1655,Shamela0011780,327,1,768,549
162,202,430,Shamela0011780,327,1469,1736,151
162,1070,1506,Shamela0011780,328,1030,1696,323
162,449,1034,Shamela0011780,328,76,775,372
162,1506,1700,Shamela0011780,329,1,146,110
162,602,846,Shamela0011787,437,576,787,138
163,1,892,Shamela0011780,329,146,1037,427
164,268,912,Shamela0011780,329,1020,1601,409
164,912,1427,Shamela0011780,330,1,648,340
165,544,1690,Shamela0011780,330,644,1562,498
166,28,1339,Shamela0011780,331,1,1617,877
