id,book,alignments,ch_match
JK009225,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,44,6273
JK009228,0600AbuBaqaHilli.ManaqibMazidiya,12,2207
JK009237,0638IbnCarabi.FutuhatMakkiyya,16,3345
JK009239,0852IbnHajarCasqalani.InbaGhumr,1,127
JK009242,0597IbnJawzi.WafaBiAhwalMustafa,211,65003
JK009249,0911Suyuti.TuhfatAbrar,1,90
JK009256BK2,0852IbnHajarCasqalani.NukatZiraf,1,117
JK009261,1258IbnCabdSalamTusuli.Bahja,1,634
JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,307,69339
JK009269,0398BadicZamanHamadhani.Maqamat,2,703
JK009276,0632BahaDinIbnShaddad.NawadirSultaniyya,4,1234
JK009283,0377IbnMuhammadShimshati.AnwarWaMahasinAshcar,28,5325
JK009288,0414AbuHayyanTawhidi.Basair,52,10119
JK009289,0505Ghazali.MizanCamal,1,114
JK009291,0320IbnMuhammadBayhaqi.Mahasin,46,9760
JK009296,1111MuhammadAminMuhibbi.NafahatRayhana,20,2348
JK009301,0973CabdWahhabShacrani.LawaqihAnwar,2,252
JK009306,1100MuhammadItlidi.IclamNas,55,17968
JK009307,0750PseudoIbnFuwati.Hawadith,7,2499
JK009324,0449IbnBattalQurtubi.SharhSahihBukhari,106,26903
JK009329,0676Nawawi.BustanCarifin,5,1081
JK009332,1031CabdRaufMunawi.SayyidatNisa,2,395
JK009334,0974IbnHajarHaytami.MablaghArab,1,180
JK009339,0456IbnHazm.RisalaFiGhina,7,2068
JK009341,0456IbnHazm.NaqtCarus,4,863
JK009353,0456IbnHazm.RisalaFiRaddCalaIbnNaghrila,1,93
JK009361,0400IbnHusaynYamani.MudahatAmthal,1,106
JK009364,0255Jahiz.MahasinWaAddad,26,5604
JK009365,1031BahaDinCamili.Kashkul,38,6638
JK009370Vols,0597CimadDinKatibIsfahani.KharidatQasr,114,26394
JK009379,0911Suyuti.Habaik,10,2343
JK009388,0911Suyuti.Baha,1,185
JK009390,1423CabbasAhmadSaqr.JamicAhadith,411,114108
JK009391,0576AbuTahirSilafi.Tuyurat,7,1374
JK009396,0450AbuHasanMawardi.NukatWaCuyun,151,28951
JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,178,43225
JK010001,1225IbnNasirNajdi.FawakihCidhab,54,10040
JK010081,0626IbnMuhammadKhwarazmiSakkaki.MiftahCulum,9,1412
JK010216,0320HakimTirmidhi.Manhiyyat,1,172
JK010262,0911Suyuti.SifatSahibDhawqSalim,1,199
JK010298,1119IbnMacsum.SulafaCasr,9,1557
JK010325,0355MuhammadKindi.WulatMisr,2,473
JK010344,0346Mascudi.MurujDhahab,229,69735
JK010427,0634IbnNajmIbnHanbaliJazari.IstikhrajJidal,4,1382
JK010465,0732AbuFida.Yawaqit,4,806
JK010473,1102NurDinYusi.MuhadaratFiLugha,24,3816
JK010475,1270ShihabDinAlusi.GharaibIghtirab,1,248
JK010478,0767Balawi.TajMafriq,9,1834
JK010491,0511SalmaSahari.Ansab,35,9889
JK010494,1364IbnHamdMughiri.MuntakhabQabail,9,2490
JK010552,0390IbnZakariyaNahrawani.JalisSalih,88,22386
JK010565,0613CaliIbnZafir.BadaicBadaih,11,2047
JK010570,0608IbnJacfarKatib.DarTiraz,2,473
JK010580,0776IbnAbiHajalaShihabDinMaghribi.DiwanSababa,31,4676
JK010583,0658IbnAbbar.IctabKitab,4,1567
JK010605,0291IbnYahyaThaclab.MajalisThaclab,7,1338
JK010611,0414AbuHayyanTawhidi.Sadaqa,5,590
JK010612,0449AbuCalaMacarri.FusulWaGhayat,1,130
JK010621,0453AbuIshaqHusri.JamcJawahir,50,10335
JK010629,0656IbnFadlMuzaffarCiraqi.NagratIghrid,23,4083
JK010635,0573NashwanHimyari.HurCin,10,1411
JK010637,0463IbnRashiqQayrawani.CumdaFiMahasinShicr,75,13567
JK010638,0392IbnCabdCazizJurjani.Wisata,17,2454
JK010646,0540AbuMansurJawaliqi.SharhAdabKatib,9,1701
JK010665,0685IbnSacidMaghribi.MurqisatWaMutribat,46,9856
JK010666,0337IbnIshaqZajjaji.Akhbar,12,1949
JK010670,0571IbnIbrahimIbnSacdKhayrAnsari.QurtCalaKamil,2,284
JK010672,0425RaqiqQayruwani.QutbSurur,47,9906
JK010673,0195IbnCamrSadusi.Amthal,1,194
JK010724,0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya,67,10299
JK010730,0911Suyuti.NuzhatJulasa,1,86
JK010731,0362SariRaffa.MuhibbWaMahbub,114,17926
JK010732,0597IbnMubarakBaghdadi.MuntahaTalab,38,8246
JK010733,0911Suyuti.Izdihar,2,317
JK010734,0322IbnAbiCawn.Tashbihat,101,16738
JK010743,0702IbnCabdRahmanCubaydi.TadhkiraSacdiyya,39,5215
